Artist Name,Album Name,Review Score,Genre,Date Published,Written By
Tory Lanez,Chixtape 5,5.8,Rap,2019-11-27,Dani Blum 
Floorplan,Supernatural,7.4,Electronic,2019-11-27,Nathan Smith
Davido,A Good Time,8.3,Pop/R&B,2019-11-26,Sheldon Pearce
Space Dimension Controller,Love Beyond the Intersect,6.2,Not found,2019-11-26,Philip Sherburne
Fran,A Private Picture,6.7,Rock,2019-11-26,Steven Arroyo
Tei Shi,La Linda,7.3,Pop/R&B,2019-11-26,Colin Lodewick
Coldplay,Everyday Life,6.8,Rock,2019-11-25,Sam Sodomsky
DJ Shadow,Our Pathetic Age,6.1,Electronic,2019-11-25,Thomas Hobbs
Lights Fluorescent,The Oldest Sons of the Oldest Sons,7.6,Experimental,2019-11-25,Daniel Felsenthal
The Springfields,Singles 1986-1991,7.9,Rock,2019-11-25,David Glickman
Lamin Fofana,Black Metamorphosis,7.2,Not found,2019-11-23,Philip Sherburne
Meara O’Reilly,Hockets for Two Voices EP,7.4,Experimental,2019-11-23,Quinn Moreland
Lil Peep,EVERYBODY’S EVERYTHING,7.4,Rap,2019-11-22,Nathan Smith
Various Artists,WXAXRXP Sessions,7.2,Not found,2019-11-22,Marc Hogan
Shanti Celeste,Tangerine,7.3,Electronic,2019-11-22,Shawn Reynaldo
YNW BSlime,BABY GOAT,6.0,Rap,2019-11-22,Alphonse Pierre
Leonard Cohen,Thanks for the Dance,6.9,Rock,2019-11-21,Ben Hewitt
Kele,2042,6.1,ElectronicRock,2019-11-21,Peyton Thomas
Margaux,More Brilliant Is the Hand that Throws the Coin,7.8,Folk/Country,2019-11-21,Sophie Kemp 
Jamael Dean,Black Space Tapes,7.5,Jazz,2019-11-21,Andy Beta
Steely Dan,Aja,10.0,Rock,2019-11-20,Amanda Petrusich
Steely Dan,Gaucho,9.4,Rock,2019-11-20,Alex Pappademas
Steely Dan,The Royal Scam,8.3,Rock,2019-11-20,Winston Cook-Wilson
Steely Dan,Katy Lied,9.1,Rock,2019-11-20,Mark Richardson
Steely Dan,Can’t Buy a Thrill,8.6,Rock,2019-11-20,Sasha Geffen
Arthur Russell,Iowa Dream,8.4,Experimental,2019-11-19,Jenn Pelly
Ziúr,ATØ,8.0,Electronic,2019-11-19,Ruth Saxelby
Liturgy,H.A.Q.Q.,7.6,Metal,2019-11-19,Grayson Haver Currin
Remember Sports,Sunchokes,7.5,Rock,2019-11-19,Abby Jones
TNGHT,II EP,7.7,Electronic,2019-11-18,Noah Yoo
Enchante,Mind in Camden 2,8.0,Electronic,2019-11-18,Philip Sherburne
Lee Gamble,Exhaust EP,7.7,Electronic,2019-11-18,Ruth Saxelby
Aimee Mann,"Bachelor No. 2 or, the Last Remains of the Dodo",9.0,Rock,2019-11-17,Judy Berman
Andy Stott,It Should Be Us,7.5,Electronic,2019-11-16,Philip Sherburne
Wiki,OOFIE,7.4,Rap,2019-11-16,Matthew Ismael Ruiz
Greet Death,New Hell,7.9,Rock,2019-11-16,Ian Cohen
Kate Davis,Trophy,6.9,Rock,2019-11-16,Cat Zhang
Bonnie “Prince” Billy,I Made a Place,7.1,Folk/Country,2019-11-15,Sam Sodomsky
Jacquees,King of R&B,7.0,Pop/R&B,2019-11-15,Sheldon Pearce
Peter Ivers,Becoming Peter Ivers,8.1,Folk/Country,2019-11-15,Madison Bloom
Matthew J. Rolin,Matthew J. Rolin,7.4,Rock,2019-11-15,Fred Thomas
Doja Cat,Hot Pink,7.4,Rap,2019-11-14,Lakin Starling
Gene Clark,No Other,9.3,Folk/Country,2019-11-14,Andy Beta
Lucy Dacus,2019 EP,7.6,Rock,2019-11-14,Peyton Thomas
Soundwalk CollectivePatti Smith,Mummer Love,7.0,ElectronicRock,2019-11-14,Mina Tavakoli
Mount EerieJulie Doiron,Lost Wisdom pt. 2,7.4,Rock,2019-11-13,Grayson Haver Currin
Rod Wave,Ghetto Gospel,8.0,Rap,2019-11-13,Alphonse Pierre
Ryuichi Sakamoto,Thousand Knives of Ryuichi Sakamoto,8.2,Experimental,2019-11-13,Daniel Martin-McCormick
Swans,Leaving Meaning,7.7,Rock,2019-11-13,Philip Sherburne
Have a Nice Life,Sea of Worry,7.4,Not found,2019-11-12,Arielle Gordon
Hiro Kone,A Fossil Begins to Bray,8.0,Not found,2019-11-12,Shawn Reynaldo
Medhane,Own Pace,7.7,Rap,2019-11-12,Matthew Strauss
Various Artists,Down in Jamaica – 40 Years of VP Records,7.8,Not found,2019-11-12,Wayne Marshall
King Crimson,In the Court of the Crimson King (50th Anniversary),10.0,Rock,2019-11-11,Ryan Reed
Moor Mother,Analog Fluids of Sonic Black Holes,7.7,Experimental,2019-11-11,Adlan Jackson
Gang Starr,One of the Best Yet,6.3,Rap,2019-11-11,Sheldon Pearce
Westside Gunn,Hitler Wears Hermes 7,7.3,Rap,2019-11-11,Reed Jackson
...And You Will Know Us by the Trail of Dead,Madonna,8.7,Rock,2019-11-10,Stuart Berman
Clams Casino,Moon Trip Radio,7.7,Rap,2019-11-09,Noah Yoo
Charly Bliss,Supermoon EP,7.2,Rock,2019-11-09,Vrinda Jagota
Jubilee,Call for Location,7.6,Electronic,2019-11-09,Shawn Reynaldo
FKA twigs,MAGDALENE,9.4,ElectronicPop/R&B,2019-11-08,Julianne Escobedo Shepherd
Bob Dylan,"Travelin’ Thru, Featuring Johnny Cash: The Bootleg Series Vol. 15",8.0,Rock,2019-11-08,Stephen Thomas Erlewine
Emotional Oranges,The Juice Vol. II,6.4,Pop/R&B,2019-11-08,Dani Blum 
DJ Nigga Fox,Cartas Na Manga,7.9,Electronic,2019-11-08,Andy Beta
Various Artists,Charlie’s Angels (Original Motion Picture Soundtrack),5.4,Not found,2019-11-07,Eric Torres
Sudan Archives,Athena,7.7,Pop/R&B,2019-11-07,Allison Hussey
Malibu,One Life,7.7,Experimental,2019-11-07,Philip Sherburne
Office Culture,A Life of Crime,7.6,Rock,2019-11-07,Jazz Monroe
Cate Le BonBradford Cox,Myths 004,7.3,Rock,2019-11-06,Laura Snapes
Anamanaguchi,[USA],7.5,Electronic,2019-11-06,Noah Yoo
ShittyBoyz BabyTron,Bin Reaper,7.1,Rap,2019-11-06,Alphonse Pierre
Buttechno,badtrip,6.9,Electronic,2019-11-06,Ben Cardew
Earl Sweatshirt,Feet of Clay,8.4,Rap,2019-11-05,Sheldon Pearce
Anna Meredith,FIBS,7.7,Experimental,2019-11-05,Piotr Orlov
Konradsen,Saints and Sebastian Stories,6.5,Folk/Country,2019-11-05,Joshua Copperman
Dry Cleaning,Boundary Road Snacks and Drinks EP,7.5,Rock,2019-11-05,Colin Lodewick
Lil Peep,GOTH ANGEL SINNER EP,6.8,Rap,2019-11-04,Evan Rytlewski
R.E.M.,Monster (25th Anniversary Edition),8.1,Rock,2019-11-04,Brad Nelson
Project Pablo,Inside Unsolved EP,6.9,Electronic,2019-11-04,Megan Buerger
Turnover,Altogether,5.4,Rock,2019-11-04,Abby Jones
dead prez,Let’s Get Free,8.2,MetalRap,2019-11-03,Rawiya Kameir
The World Is a Beautiful Place & I Am No Longer Afraid to Die,Assorted Works,7.7,Rock,2019-11-02,Ian Cohen
Itasca,Spring,7.0,Folk/Country,2019-11-02,Linnie Greene
Miranda Lambert,Wildcard,7.4,Folk/Country,2019-11-01,Allison Hussey
Skee Mask,ISS004,7.8,Electronic,2019-11-01,Gabriel Szatan
Michael Kiwanuka,Kiwanuka,7.5,Pop/R&B,2019-11-01,Alfred Soto
Rocketship,Thanks to You,7.9,Rock,2019-11-01,Marc Hogan
Van Morrison,Three Chords and the Truth,7.3,Rock,2019-10-31,Jason P. Woodbury
Mikal Cronin,Seeker,5.6,Rock,2019-10-31,Linnie Greene
Young Guv,GUV II,7.7,Rock,2019-10-31,Stuart Berman
Ka Baird ,Respires,7.8,Experimental,2019-10-31,Philip Sherburne
Neil YoungCrazy Horse,Colorado,7.4,Rock,2019-10-30,Sam Sodomsky
Ariel Pink,Underground,6.8,Rock,2019-10-30,Nathan Taylor Pemberton
Mary HalvorsonJohn Dieterich,a tangle of stars,7.7,JazzExperimentalRock,2019-10-30,Grayson Haver Currin
Lucki,Days B4 III,8.0,Rap,2019-10-30,Alphonse Pierre
Kanye West,Jesus Is King,7.2,Rap,2019-10-29,Rawiya Kameir
Sunn O))),Pyroclasts,8.0,ExperimentalMetal,2019-10-29,Daniel Martin-McCormick
Meemo Comma,Sleepmoss,7.5,Electronic,2019-10-29,Ruth Saxelby
Great Grandpa,Four of Arrows,7.4,Rock,2019-10-29,Leah Mandel 
King Princess,Cheap Queen,7.4,Pop/R&B,2019-10-28,Olivia Horn 
Donato Dozzy,12H,6.8,Electronic,2019-10-28,Andy Beta
Cigarettes After Sex,Cry,4.0,Experimental,2019-10-28,Sophie Kemp 
Ali Barter,"Hello, I’m Doing My Best",7.2,Pop/R&B,2019-10-28,Shaad D’Souza
Germs,(GI),9.0,Rock,2019-10-27,Madison Bloom
Jonathan Fire*Eater,Tremble Under Boom Lights,8.0,Not found,2019-10-26,Paul Thompson
Jimmy Eat World,Surviving,6.9,Rock,2019-10-26,Thora Siemsen
Eartheater,Trinity,7.3,Experimental,2019-10-26,Sasha Geffen
Rex Orange County,Pony,5.0,Pop/R&B,2019-10-25,Anna Gaca
Sufjan StevensTimo Andres,The Decalogue,6.5,Folk/CountryExperimental,2019-10-25,Noah Yoo
Hana Vu,Nicole Kidman / Anne Hathaway,7.2,Pop/R&B,2019-10-25,Dani Blum 
Tribe,Hometown: Detroit Sessions 1990​-​2014,7.7,Jazz,2019-10-25,Piotr Orlov
Gucci Mane,Woptober II,6.1,Rap,2019-10-24,Dean Van Nguyen
Patrick Cowley,Mechanical Fantasy Box,7.3,Electronic,2019-10-24,Rich Juzwiak
Teebs,Anicca,7.8,Electronic,2019-10-24,Jonah Bromwich
Black Marble,Bigger Than Life,6.6,Rock,2019-10-24,Fred Thomas
Jim JamesTeddy Abrams,The Order of Nature,6.3,RockExperimental,2019-10-23,Steven Arroyo
Homeboy Sandman,Dusty,6.1,Rap,2019-10-23,Sheldon Pearce
Foals,Everything Not Saved Will Be Lost Part 2,5.7,Rock,2019-10-23,Joshua Copperman
Relaxer,Coconut Grove,7.4,Electronic,2019-10-23,Shawn Reynaldo
Nils Frahm,All Encores,6.5,Electronic,2019-10-22,Philip Sherburne
Matana Roberts,Coin Coin Chapter Four: Memphis,8.3,Jazz,2019-10-22,Mina Tavakoli
White Reaper,You Deserve Love,6.8,Rock,2019-10-22,Ian Cohen
Bonnie Baxter,AXIS,7.2,Experimental,2019-10-22,Colin Joyce
Floating Points,Crush,8.3,Electronic,2019-10-21,Shawn Reynaldo
Battles,Juice B Crypts,6.1,Rock,2019-10-21,Grayson Haver Currin
clipping.,There Existed an Addiction to Blood,4.5,Rap,2019-10-21,Stephen Kearse
Sorry Girls,Deborah,7.1,Pop/R&B,2019-10-21,Stuart Berman
The Go-Go’s,Beauty and the Beat,8.3,Rock,2019-10-20,Quinn Moreland
Vagabon,Vagabon,7.6,Rock,2019-10-19,Ann-Derrick Gaillot
Various Artists,Use Hearing Protection: Factory Records 1978-79,7.7,Not found,2019-10-19,Robert Ham
Slikback,Lasakaneku / Tomo,8.0,ElectronicGlobal,2019-10-19,Philip Sherburne
Caroline Polachek,Pang,7.3,Pop/R&B,2019-10-18,Katherine St. Asaph
Hovvdy,Heavy Lifter,7.4,Rock,2019-10-18,Peyton Thomas
The Muffs,No Holiday,7.8,Rock,2019-10-18,Dayna Evans
Third Eye Blind,Screamer,6.9,Rock,2019-10-18,Evan Rytlewski
Richard Dawson,2020,7.8,Not found,2019-10-17,Sam Sodomsky
Jacques Greene,Dawn Chorus,7.7,Electronic,2019-10-17,Noah Yoo
Screaming Females,Singles Too,6.8,Rock,2019-10-17,Brady Gerber
Anna Wise,As If It Were Forever,7.5,Pop/R&B,2019-10-17,Marcus J. Moore
Ernest Hood,Neighborhoods,8.4,Electronic,2019-10-16,Andy Beta
Xanman,Broken,6.7,Rap,2019-10-16,Nathan Smith
Babymetal,Metal Galaxy,4.7,Metal,2019-10-16,Grayson Haver Currin
W00DY,My Diary,7.4,Electronic,2019-10-16,Colin Joyce
Mavi,Let the Sun Talk,7.8,Rap,2019-10-15,Sheldon Pearce
Devon Welsh,True Love,7.2,Electronic,2019-10-15,Jayson Greene
Czardust,The Ra(w) Material,7.5,Rap,2019-10-15,Phillip Mlynar
Arrange,Blood Dust,7.1,ElectronicRock,2019-10-15,Brian Howe
Kim Gordon,No Home Record,8.4,Rock,2019-10-14,Philip Sherburne
Lil Tjay,True 2 Myself,6.5,Rap,2019-10-14,Alphonse Pierre
jaimie branch,FLY or DIE II: bird dogs of paradise,7.8,Jazz,2019-10-14,Marcus J. Moore
The Hecks,My Star,7.2,Rock,2019-10-14,Steven Arroyo
Roxy Music,For Your Pleasure,9.5,Rock,2019-10-13,Rob Tannenbaum
Chromatics,Closer to Grey,7.1,ElectronicRock,2019-10-12,Patric Fallon
Lightning Bolt,Sonic Citadel,7.8,Rock,2019-10-12,Colin Joyce
Pelada,Movimiento Para Cambio,6.9,Electronic,2019-10-12,Philip Sherburne
Big Thief,Two Hands,9.0,Rock,2019-10-11,Sam Sodomsky
Lindstrøm,On a Clear Day I Can See You Forever,6.6,Electronic,2019-10-11,Jesse Dorris
Bill Orcutt,Odds Against Tomorrow,7.8,Experimental,2019-10-11,Jonathan Williger
billy woods,Terror Management,6.5,Rap,2019-10-11,Stephen Kearse
that dog.,Old LP,7.4,Rock,2019-10-10,Maura Johnston
Taking Back Sunday,Tell All Your Friends,8.0,Rock,2019-10-10,Owen Myers 
The Menzingers,Hello Exile,5.8,Rock,2019-10-10,Ian Cohen
Gong Gong Gong 工工工,Phantom Rhythm 幽靈節奏 (幽霊リズム),7.6,Rock,2019-10-10,Linnie Greene
Nick Cave & the Bad Seeds,Ghosteen,8.8,Rock,2019-10-09,Grayson Haver Currin
Summer Walker,Over It,7.2,Pop/R&B,2019-10-09,Alphonse Pierre
Robert Glasper,Fuck Yo Feelings,5.9,Jazz,2019-10-09,Phillip Mlynar
Automatic,Signal,6.4,Rock,2019-10-09,Margaret Farrell
Wilco,Ode to Joy,7.8,Rock,2019-10-08,Jason P. Woodbury
DIIV,Deceiver,7.7,Rock,2019-10-08,Evan Rytlewski
Carla dal Forno,Look Up Sharp,7.5,Electronic,2019-10-08,Katherine St. Asaph
Kris Davis,Diatom Ribbons,8.1,Jazz,2019-10-08,Seth Colter Walls
Danny Brown,uknowhatimsayin¿,8.1,Rap,2019-10-07,Jayson Greene
Glenn Branca,The Third Ascension,8.0,ExperimentalRock,2019-10-07,Madison Bloom
Kaputt,Carnage Hall,7.1,Rock,2019-10-07,Stuart Berman
WIVES,So Removed,6.9,Rock,2019-10-07,Stuart Berman
John Mayer,Room for Squares,7.8,Rock,2019-10-06,Marc Hogan
Michael Vincent Waller,Moments,7.8,Experimental,2019-10-05,Andy Beta
Sheff G,The Unluccy Luccy Kid,6.4,Rap,2019-10-05,Brian Josephs
Harmony Woods,Make Yourself at Home,6.5,Rock,2019-10-05,Abby Jones
Angel Olsen,All Mirrors,8.9,Rock,2019-10-04,Laura Snapes
Sui Zhen,"Losing, Linda",8.0,Electronic,2019-10-04,Stuart Berman
Boris,LφVE & EVφL,5.8,MetalRock,2019-10-04,Grayson Haver Currin
Red River Dialect,Abundance Welcoming Ghosts,7.7,Rock,2019-10-04,Stephen M. Deusner
Young M.A,Herstory in the Making,7.3,Rap,2019-10-03,Sheldon Pearce
The Comet Is Coming,The Afterlife,7.6,Jazz,2019-10-03,Andy Beta
Gong,Love From the Planet Gong: The Virgin Years 1973-75,7.7,Rock,2019-10-03,Stephen Thomas Erlewine
Hiss Golden Messenger,Terms of Surrender,6.5,Folk/Country,2019-10-03,Allison Hussey
DaBaby,KIRK,7.6,Rap,2019-10-02,Alphonse Pierre
Tyshawn SoreyMarilyn Crispell,The Adornment of Time,8.0,Jazz,2019-10-02,Seth Colter Walls
The New Pornographers,In the Morse Code of Brake Lights,7.4,Rock,2019-10-02,Stephen Thomas Erlewine
Kevin Gates,I’M HIM,7.4,Rap,2019-10-02,Evan Rytlewski
Sturgill Simpson,SOUND & FURY,7.2,Folk/Country,2019-10-01,Chris O'Connell
Telefon Tel Aviv,Dreams Are Not Enough,8.1,Electronic,2019-10-01,Philip Sherburne
Somos,Prison on a Hill,7.4,Not found,2019-10-01,Ian Cohen
Thaiboy Digital,Legendary Member,7.2,Rap,2019-10-01,Nathan Smith
John Coltrane,Blue World,8.4,Jazz,2019-09-30,Nate Chinen
rRoxymore,Face to Phase,7.7,Electronic,2019-09-30,Philip Sherburne
Weeping Icon,Weeping Icon,7.7,Rock,2019-09-30,Madison Bloom
Sarah Hennies,Reservoir 1: Preservation,7.8,Experimental,2019-09-30,Ben Cardew
ABBA,Gold: Greatest Hits,8.3,Pop/R&B,2019-09-29,Jamieson Cox
Prefab Sprout,Swoon,8.2,ElectronicRock,2019-09-28,Sam Sodomsky
Blink-182,NINE,5.2,Rock,2019-09-28,Nathan Smith
Jack Harlow,Confetti,5.6,Rap,2019-09-28,Alphonse Pierre
Tegan and Sara,"Hey, I’m Just Like You",7.1,Rock,2019-09-27,Aimee Cliff
Laurie AndersonTenzin ChoegyalJesse Paris Smith,Songs From the Bardo,8.4,ExperimentalFolk/Country,2019-09-27,Ruth Saxelby
Girl Band,The Talkies,8.0,Rock,2019-09-27,Stuart Berman
Chastity Belt,Chastity Belt,7.1,Rock,2019-09-27,Abby Jones
The Replacements,Dead Man’s Pop,8.2,Rock,2019-09-26,Mark Richardson
Cashmere Cat,Princess Catgirl,6.8,Electronic,2019-09-26,Colin Joyce
Alex Cameron,Miami Memory,6.0,Rock,2019-09-26,Anna Gaca
Temples,Hot Motion,5.0,Rock,2019-09-26,Sophie Kemp 
Vivian Girls,Memory,7.3,Rock,2019-09-25,Arielle Gordon
Dylan Moon,Only the Blues,7.1,Folk/Country,2019-09-25,Colin Joyce
Y La Bamba,Entre Los Dos EP,7.7,Folk/Country,2019-09-25,Colin Lodewick
Sueco the Child,MISCREANT,3.5,Rap,2019-09-25,Cat Zhang
Tove Lo,Sunshine Kitty,7.2,Pop/R&B,2019-09-24,Dani Blum 
Liam Gallagher,Why Me? Why Not.,6.3,Rock,2019-09-24,Stephen Thomas Erlewine
Topdown Dialectic,Vol. 2,8.0,Electronic,2019-09-24,Philip Sherburne
Jóhann Jóhannsson,12 Conversations With Thilo Heinzmann,6.9,Experimental,2019-09-24,Andy Beta
M83,DSVII,7.4,ElectronicRock,2019-09-23,Noah Yoo
